ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,DXY_Index,DXY_Index_lower,DXY_Index_upper,Gold_Price_USD,Gold_Price_USD_lower,Gold_Price_USD_upper,Real_Interest_Rate,Real_Interest_Rate_lower,Real_Interest_Rate_upper,VIX_Index,VIX_Index_lower,VIX_Index_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-08,25.931853419144296,26.710470162864507,31.166699640229236,25.931853419144296,25.931853419144296,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.8739527065674837,2.8739527065674837,2.8739527065674837,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0883222758070143,1.0883222758070143,1.0883222758070143,0.07224350858035879,0.07224350858035879,0.07224350858035879,0.0,0.0,0.0,28.80580612571178
2024-08-09,25.93611394010548,26.298606310631065,31.023550497727328,25.93611394010548,25.93611394010548,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.86293432917209,2.86293432917209,2.86293432917209,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0839365525304463,1.0839365525304463,1.0839365525304463,0.06561085446153349,0.06561085446153349,0.06561085446153349,0.0,0.0,0.0,28.79904826927757
2024-08-12,25.948895502989043,26.621937534428717,31.35532630547136,25.948895502989043,25.948895502989043,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.8570572355684236,2.8570572355684236,2.8570572355684236,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.075603250973564,1.075603250973564,1.075603250973564,0.06806706241474943,0.06806706241474943,0.06806706241474943,0.0,0.0,0.0,28.805952738557465
2024-08-13,25.95315602395024,26.489912241165896,31.0898549386769,25.95315602395024,25.95315602395024,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.8714979089624735,2.8714979089624735,2.8714979089624735,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0819667168893543,1.0819667168893543,1.0819667168893543,0.07614426989300922,0.07614426989300922,0.07614426989300922,0.0,0.0,0.0,28.824653932912714
2024-08-14,25.95741654491142,26.623287854774027,31.13553771279353,25.95741654491142,25.95741654491142,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.882470752838979,2.882470752838979,2.882470752838979,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0815124684237802,1.0815124684237802,1.0815124684237802,0.08757136223508827,0.08757136223508827,0.08757136223508827,0.0,0.0,0.0,28.8398872977504
2024-08-15,25.96167706587261,26.614816089468466,31.0804990255134,25.96167706587261,25.96167706587261,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.903790758136096,2.903790758136096,2.903790758136096,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.088322275808088,1.088322275808088,1.088322275808088,0.10208156014789802,0.10208156014789802,0.10208156014789802,0.0,0.0,0.0,28.865467824008707
2024-08-16,25.965937586833803,26.64788220271809,31.235445496130097,25.965937586833803,25.965937586833803,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.9166752510046483,2.9166752510046483,2.9166752510046483,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0839365525389828,1.0839365525389828,1.0839365525389828,0.11935177628555528,0.11935177628555528,0.11935177628555528,0.0,0.0,0.0,28.88261283783845
2024-08-19,25.978719149717367,26.7880394992382,31.28716011934485,25.978719149717367,25.978719149717367,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,2.972825867389512,2.972825867389512,2.972825867389512,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.075603250976214,1.075603250976214,1.075603250976214,0.18383569423318807,0.18383569423318807,0.18383569423318807,0.0,0.0,0.0,28.95154501710688
2024-08-20,25.982979670678553,26.791336750802653,31.071855145120843,25.982979670678553,25.982979670678553,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,3.003464739423281,3.003464739423281,3.003464739423281,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0819667168897993,1.0819667168897993,1.0819667168897993,0.20811110035337171,0.20811110035337171,0.20811110035337171,0.0,0.0,0.0,28.986444410101832
2024-08-21,25.987240191639746,26.757356900977523,31.366043943353542,25.987240191639746,25.987240191639746,-1.0617918272098423,-1.0617918272098423,-1.0617918272098423,3.929444634815358,3.929444634815358,3.929444634815358,-0.011399612783422743,-0.011399612783422743,-0.011399612783422743,-1.1428662726419827,-1.1428662726419827,-1.1428662726419827,3.0279180362905103,3.0279180362905103,3.0279180362905103,1.7133869221801106,1.7133869221801106,1.7133869221801106,1.0815124684237851,1.0815124684237851,1.0815124684237851,0.23301864568661423,0.23301864568661423,0.23301864568661423,0.0,0.0,0.0,29.015158227930257
